Title,Region,Country,Language,Source URI
ABC,USA,USA,English,abcnews.go.com
Africanews,Africa,Pan-Africa,English/French,theafricanews.net
Agencia EFE,Europe,Spain,English,efe.com
Al Arabiya,Middle East,UAE,Arabic,alarabiya.net
Al Jazeera,Middle East,Region wide,English,aljazeera.com
AllAfrica,Africa,Pan-Africa,English,allafrica.com
ANSA,Europe,Italy,Italian,ansa.it
Arab News,Middle East,Saudi Arabia,English,arabnews.com
Asahi Shimbun,Asia/Pacific,Japan,Japanese,asahi.com
Asharq Al-Awsat,Middle East,Region wide,English,english.aawsat.com
Associated Press,USA,USA,English,hosted.ap.org
Axios,USA,USA,English,axios.com
Bangkok Post,Asia/Pacific,Thailand,English,bangkokpost.com
BBC News,Europe,UK,English,bbc.com
BFM TV (general),Europe,France,French,bfmtv.com
BILD,Europe,Germany,German,bild.de
Boston Globe,USA,USA,English,bostonglobe.com
Buenos Aires Times,LATAM,Argentina,English,batimes.com.ar
Business Daily,Africa,Kenya,English,businessdaily.gr
Business Day (Nigeria),Africa,Nigeria,English,businessday.ng
Business Day (South Africa),Africa,South Africa,English,businesslive.co.za
Business Standard,Asia/Pacific,India,English,business-standard.com
Business Times,Asia/Pacific,Singapore,English,businesstimes.com.sg
CBS news,USA,USA,English,cbsnews.com
Challenges,Europe,France,French,challenges.fr
China Daily,Asia/Pacific,China,English,chinadaily.com.cn
Chosun Ilbo,Asia/Pacific,South Korea,Korean,english.chosun.com
Chosun Ilbo,Asia/Pacific,South Korea,English,english.chosun.com
CNBC,USA,USA,English,cnbc.com
CNews,Europe,France,French,cnews.fr
CNN,Global,USA,English,cnn.com
Correio Braziliense,LATAM,Brazil,Portuguese,correiobraziliense.com.br
Corriere della Sera,Europe,Italy,Italian,corriere.it
Courier Mail,Asia/Pacific,Australia,English,couriermail.com.au
The Daily Express,Europe,UK,English,the-express.com
Daily Maverick,Africa,South Africa,English,dailymaverick.co.za
Daily Nation,Africa,Kenya,English,nation.co.ke
Daily News and Analysis (DNA),Asia/Pacific,India,English,dnaindia.com
Daily News Egypt,Middle East,Egypt,English,dailynewsegypt.com
Daily Telegraph,Asia/Pacific,Australia,English,dailytelegraph.com.au
Dawn,Asia/Pacific,Pakistan,English,dawn.com
De Standaard,Europe,Belgium,Dutch,standaard.be
Deccan Chronicle,Asia/Pacific,India,English,deccanchronicle.com
Diário de Notícias,Europe,Portugal,Portuguese,dn.pt
Die Welt,Europe,Germany,German,welt.de
Die Zeit,Europe,Germany,German,zeit.de
Dong A Ilbo Daily,Asia/Pacific,South Korea,Korean,donga.com
DPA,Europe,Germany,German,dpa-international.com
DW,Europe,Germany,English,dw.com
El Comercio,LATAM,Peru,Spanish,elcomercio.pe
El Cronista,LATAM,Argentina,Spanish,cronista.com
El Espectador,LATAM,Colombia,Spanish,elespectador.com
El Mundo,Europe,Spain,Spanish,elmundo.es
El País,Europe,Spain,Spanish,elpais.com
El Tiempo,LATAM,Colombia,Spanish,eltiempo.com
El Universal,LATAM,Mexico,Spanish,eluniversal.com.mx
EUobserver,Europe,EU-wide,English,euobserver.com
Euractiv,Europe,EU-wide,English,euractiv.com
Euronews,Europe,EU-wide,English,euronews.com
Exame,LATAM,Brazil,Portuguese,exame.com
Excélsior,LATAM,Mexico,Spanish,excelsior.com.mx
Financial Express,Asia/Pacific,India,English,financialexpress.com
Financial Times,Global,UK,English,ft.com
Focus,Europe,Germany,German,focus.de
Forbes,USA,USA,English,forbes.com
Forbes India,Asia/Pacific,India,English,forbesindia.com
France info (general),Europe,France,French,francetvinfo.fr
France24,Europe,France,English,france24.com
Frankfurter Allgemeine Zeitung,Europe,Germany,German,faz.net
Frankfurter Rundschau,Europe,Germany,German,fr.de
"Gazeta.ru (general, online) – ""semi-independent"" (working under censorship but not directly controlled)",Russia,Russia,Russian,gazeta.ru
Ghanian Times,Africa,Ghana,English,ghanaiantimes.com.gh
Global Times,Asia/Pacific,China,Chinese,globaltimes.cn
Gulf Daily News,Middle East,Bahrain,English,gdnonline.com
Haaretz,Middle East,Israel,English,haaretz.com
Handelsblatt,Europe,Germany,German,handelsblatt.com
Hankook Ilbo,Asia/Pacific,South Korea,Korean,hankookilbo.com
Herald Sun,Asia/Pacific,Australia,English,heraldsun.com.au
Hindustan Times,Asia/Pacific,India,English,hindustantimes.com
India Today,Asia/Pacific,India,English,indiatoday.in
Indian Express,Asia/Pacific,India,English,indianexpress.com
Infobae,LATAM,Argentina,Spanish,infobae.com
ITV.com,UK,UK,English,itv.com
Jakarta Post,Asia/Pacific,Indonesia,English,thejakartapost.com
Japan News,Asia/Pacific,Japan,English,the-japan-news.com
Jiji Asia Business News,Asia/Pacific,Japan,Japanese,jiji.com
JoongAng Ilbo,Asia/Pacific,South Korea,Korean,joongang.co.kr
Jordan Times,Middle East,Jordan,English,jordantimes.com
"Kommersant (business, print/online) – ""semi-independent"" (working under censorship but not directly controlled)",Russia,Russia,Russian,kommersant.ru
Korea JoongAng Daily,Asia/Pacific,South Korea,English,mengnews.joins.com
Kuwait Times,Middle East,Kuwait,English,kuwaittimes.com
Kyodo News,Asia/Pacific,Japan,English,english.kyodonews.net
Kyoto Shimbun,Asia/Pacific,Japan,Japanese,kyoto-np.co.jp
L’Echo,Europe,Belgium,French,lecho.be
L'Express,Europe,France,French,lexpress.fr
La Croix (general),Europe,France,French,la-croix.com
La Jornada,LATAM,Mexico,Spanish,jornada.com.mx
La Nación,LATAM,Argentina,Spanish,lanacion.com.ar
La Presse Canadienne,Canada,Canada,French,lapresse.ca
La Repubblica,Europe,Italy,Italian,repubblica.it
La República,LATAM,Peru,Spanish,larepublica.pe
La Tercera,LATAM,Chile,Spanish,latercera.com
LA Times,USA,USA,English,latimes.com
Le JDD (le Journal du Dimance),Europe,France,French,lejdd.fr
Le journal du dimanche (general),Europe,France,French,lejdd.fr
Le Matin,Africa,Morocco,French,lematin.ma
Le Monde,Europe,France,French,lemonde.fr
Le Nouvel Obs,Europe,France,French,nouvelobs.com
Le Parisien / Aujourd'hui en France,Europe,France,French,leparisien.fr
Le Point,Europe,France,French,lepoint.fr
Le Soleil,Africa,Senegal,French,lesoleil.com
Les Échos,Europe,France,French,lesechos.fr
Macau Daily Times,Asia/Pacific,Macau,English,macaudailytimes.com.mo
Maeil Business Newspaper,Asia/Pacific,South Korea,English,mk.co.kr
Mail & Guardian,Africa,South Africa,English,mg.co.za
Mail Online,UK,UK,English,dailymail.com
Malay Mail Online,Asia/Pacific,Malaysia,English,themalaymailonline.com
Manila Bulletin,Asia/Pacific,Philippines,English,mb.com.ph
"Meduza (general, online) – independent (outlawed in Russia)",Russia,Russia,Russian,meduza.io
Miami Herald,USA,USA,English,miamiherald.com
Milenio,LATAM,Mexico,Spanish,milenio.com
Mint,Asia/Pacific,India,English,livemint.com
Money Control,Asia/Pacific,India,English,moneycontrol.com
MSNBC,USA,USA,English,msnbc.com
NBC,USA,USA,English,nbcnews.com
New Statesman,Europe,UK,English,newstatesman.com
New York Times,Global,USA,English,nytimes.com
News24,Africa,South Africa,English,news24.com
Nihon keizai Shimbun,Asia/Pacific,Japan,Japanese,nikkei.com
O Estado de S. Paulo,LATAM,Brazil,Portuguese,estadao.com.br
Ouest France,Europe,France,French,ouest-france.fr
Página/12,LATAM,Argentina,Spanish,pagina12.com.ar
Politico Europe,Europe,EU-wide,English,politico.eu
Politico UK,UK,UK,English,politico.eu
Politico USA,USA,USA,English,politico.com
Press Association National Newswire,UK,UK,English,pa.media
Público,Europe,Portugal,Portuguese,publico.pt
Rfi France,Europe,France,French,rfi.fr
Reuters,Global,Global,English,reuters.com
"RIA Novosti (general, newswire) – official state perspective",Russia,Russia,Russian,ria.ru
Sankei Shimbun,Asia/Pacific,Japan,Japanese,sankei.com
Saudi Gazette,Middle East,Saudi Arabia,English,saudigazette.com.sa
Scroll,Asia/Pacific,India,English,scroll.in
Seoul Shinmun,Asia/Pacific,South Korea,Korean,seoul.co.kr
Shizuoka Shimbun,Asia/Pacific,Japan,Japanese,at-s.com
Sky News,Europe,UK,English,news.sky.com
Stern,Europe,Germany,German,stern.de
Süddeutsche Zeitung,Europe,Germany,German,sueddeutsche.de
Sustainable Views,Europe,EU-wide,English,sustainableviews.com
Tagesspiegel,Europe,Germany,German,tagesspiegel.de
Taz,Europe,Germany,German,taz.de
Telegraph India,Asia/Pacific,India,English,telegraphindia.com
The Australian,Asia/Pacific,Australia,English,theaustralian.com.au
"The Bell (business, online) – independent (outlawed in Russia)",Russia,Russia,Russian,thebell.io
The Daily Telegraph,Europe,UK,English,dailytelegraph.com.au
The East African,Africa,Kenya,English,theeastafrican.co.ke
The Economic Times,Asia/Pacific,India,English,m.economictimes.com
The Economist,Global,UK,English,economist.com
The Globe and Mail,Canada,Canada,English,theglobeandmail.com
The Guardian,Europe,UK,English,theguardian.com
The Guardian (Nigeria),Africa,Nigeria,English,guardian.ng
The Herald (Scottish),UK,UK,English,heraldonline.com
The Hindu,Asia/Pacific,India,English,thehindu.com
The Independent,UK,UK,English,independent.co.uk
The Irish Times,Europe,Ireland,English,irishtimes.com
The Korea Economic Daily,Asia/Pacific,South Korea,Korean,kedglobal.com
The Korea Financial Times,Asia/Pacific,South Korea,Korean,ft.com
The Korea Herald,Asia/Pacific,South Korea,English,koreaherald.com
The Kyunghyang Shinmun,Asia/Pacific,South Korea,Korean,khan.co.kr
The Mainichi,Asia/Pacific,Japan,English,mainichi.jp
The Daily Mirror,UK,UK,English,dailymirror.lk
The Nation,Asia/Pacific,Pakistan,English,nation.com.pk
The Nation,Asia/Pacific,Thailand,English,nationthailand.com
The National,Middle East,UAE,English,thenationalnews.com
The New Zealand Herald,Asia/Pacific,New Zealand,English,nzherald.co.nz
The News International,Asia/Pacific,Pakistan,English,thenews.com.pk
The Observer,UK,UK,English,theobserver.com
The Print,Asia/Pacific,India,English,theprint.in
The Punch,Africa,Nigeria,English,punchng.com
The Scotsman,UK,UK,English,scotsman.com
The Shinano Mainichi Shimbun,Asia/Pacific,Japan,Japanese,shinmai.co.jp
The Spectator,UK,UK,English,spectatornews.com
The Standard Kenya,Africa,Kenya,English,standardmedia.co.ke
The Star,Asia/Pacific,Malaysia,English,thestar.com.my
The Statesman,Asia/Pacific,India,English,thestatesman.com
The Straits Times,Asia/Pacific,Singapore,English,straitstimes.com
The Sun,UK,UK,English,thesun.co.uk
The Sunday Telegraph,UK,UK,English,telegraph.co.uk
The Telegraph,Asia/Pacific,India,English,telegraphindia.com
The Telegraph,UK,UK,English,telegraph.co.uk
The Times,UK,UK,English,thetimes.com
The Times of India,Asia/Pacific,India,English,timesofindia.indiatimes.com
The Times of Israel,Middle East,Israel,English,timesofisrael.com
The Times Scotland,UK,UK,English,thetimes.com
The Toronto Star,Canada,Canada,English,thestar.com
The Tribune,Asia/Pacific,India,English,tribuneindia.com
The Week,Asia/Pacific,India,English,theweek.in
UOL Notícias,LATAM,Brazil,Portuguese,uol.com.br
USA today,USA,USA,English,usatoday.com
Valor Econômico,LATAM,Brazil,Portuguese,valor.com.br
"Vedomosti (business, print/online) – ""semi-independent"" (working under censorship but not directly controlled)",Russia,Russia,Russian,vedomosti.ru
Washington Post,Global,USA,English,washingtonpost.com
Winnipeg Free Press (Manitoba),Canada,Canada,English,winnipegfreepress.com
XinhuaNet,Asia/Pacific,China,English,xinhuanet.com
Yomiuri Shinbun,Asia/Pacific,Japan,Japanese,yomiuri.co.jp
AEF Info,Europe,France,French,aefinfo.fr
Sustainable views,Europe,UK,English,sustainableviews.com
IOL,Africa,South Africa,English,iol.co.za
Premium Times,Africa,Nigeria,English,premiumtimesng.com
The Tribune,Africa,Nigeria,English,tribuneonlineng.com
The Africa report,Africa,Pan-african,English,theafricareport.com
African Business,Africa,Pan-african,English,african.business
DR,Europe,Denmark,Danish,dr.dk
Politiken,Europe,Denmark,Danish,politiken.dk
Berlingske,Europe,Denmark,Danish,berlingske.dk
Dagens Nyheter,Europe,Sweden,Swedish,dn.se
YLE,Europe,Finland,Finnish,yle.fi
Helsingin Sanomat,Europe,Finland,Finnish,hs.fi